Timestamp,Date,Time,Emotion,Score
1770229900.0781426,2026-02-05,00:01:40,sad,0.6731
1770229899.9510102,2026-02-05,00:01:39,sad,0.3700
1770229899.9560869,2026-02-05,00:01:39,sad,0.4462
1770229900.0933056,2026-02-05,00:01:40,fear,0.7998
1770229900.1103797,2026-02-05,00:01:40,neutral,0.4202
1770229900.1250117,2026-02-05,00:01:40,fear,0.2915
1770229900.141951,2026-02-05,00:01:40,neutral,0.4865
1770229900.1219933,2026-02-05,00:01:40,happy,0.7765
1770229900.3060596,2026-02-05,00:01:40,sad,0.8707
1770229900.3781202,2026-02-05,00:01:40,fear,0.3659
1770229900.428866,2026-02-05,00:01:40,sad,0.5143
1770229900.4663491,2026-02-05,00:01:40,happy,0.4677
1770229900.267791,2026-02-05,00:01:40,happy,0.2502
1770229900.428001,2026-02-05,00:01:40,sad,0.5821
1770229900.4511678,2026-02-05,00:01:40,sad,0.6249
1770229900.27604,2026-02-05,00:01:40,fear,0.5306
1770229900.3670003,2026-02-05,00:01:40,neutral,0.6182
1770229900.4470632,2026-02-05,00:01:40,sad,0.3062
1770229900.592411,2026-02-05,00:01:40,sad,0.6462
1770229900.4915414,2026-02-05,00:01:40,neutral,0.6641
1770229900.5370262,2026-02-05,00:01:40,fear,0.3842
1770229900.5235968,2026-02-05,00:01:40,sad,0.5268
1770229900.6154363,2026-02-05,00:01:40,happy,0.5679
1770229900.5360003,2026-02-05,00:01:40,happy,0.3661
1770229900.6340022,2026-02-05,00:01:40,neutral,0.8254
1770229900.6451392,2026-02-05,00:01:40,fear,0.4138
1770229900.5874372,2026-02-05,00:01:40,sad,0.6498
1770229900.304061,2026-02-05,00:01:40,fear,0.2733
1770229900.393765,2026-02-05,00:01:40,fear,0.3049
1770229900.51835,2026-02-05,00:01:40,sad,0.3501
1770229900.602841,2026-02-05,00:01:40,neutral,0.4907
1770229900.666116,2026-02-05,00:01:40,sad,0.4196
1770229900.6423876,2026-02-05,00:01:40,neutral,0.7247
1770229900.666116,2026-02-05,00:01:40,fear,0.4327
1770229900.4895256,2026-02-05,00:01:40,neutral,0.7444
1770229900.713583,2026-02-05,00:01:40,sad,0.8673
1770229900.6276736,2026-02-05,00:01:40,sad,0.4221
1770229900.2780695,2026-02-05,00:01:40,sad,0.5356
1770229900.458577,2026-02-05,00:01:40,fear,0.4399
1770229900.719688,2026-02-05,00:01:40,sad,0.2993
1770229900.742721,2026-02-05,00:01:40,neutral,0.5227
